date_id,full_date,year,month,month_name,day,quarter,day_name,is_weekend,is_holiday
1,2023-01-01,2023,1,January,1,1,Sunday,1,0
2,2023-01-02,2023,1,January,2,1,Monday,0,0
3,2023-01-03,2023,1,January,3,1,Tuesday,0,0
4,2023-01-04,2023,1,January,4,1,Wednesday,0,0
5,2023-01-05,2023,1,January,5,1,Thursday,0,0
6,2023-01-06,2023,1,January,6,1,Friday,0,0
7,2023-01-07,2023,1,January,7,1,Saturday,1,0
8,2023-01-08,2023,1,January,8,1,Sunday,1,0
9,2023-01-09,2023,1,January,9,1,Monday,0,0
10,2023-01-10,2023,1,January,10,1,Tuesday,0,0
11,2023-01-11,2023,1,January,11,1,Wednesday,0,0
12,2023-01-12,2023,1,January,12,1,Thursday,0,0
13,2023-01-13,2023,1,January,13,1,Friday,0,0
14,2023-01-14,2023,1,January,14,1,Saturday,1,0
15,2023-01-15,2023,1,January,15,1,Sunday,1,0
16,2023-01-16,2023,1,January,16,1,Monday,0,0
17,2023-01-17,2023,1,January,17,1,Tuesday,0,0
18,2023-01-18,2023,1,January,18,1,Wednesday,0,0
19,2023-01-19,2023,1,January,19,1,Thursday,0,0
20,2023-01-20,2023,1,January,20,1,Friday,0,0
21,2023-01-21,2023,1,January,21,1,Saturday,1,0
22,2023-01-22,2023,1,January,22,1,Sunday,1,0
23,2023-01-23,2023,1,January,23,1,Monday,0,0
24,2023-01-24,2023,1,January,24,1,Tuesday,0,0
25,2023-01-25,2023,1,January,25,1,Wednesday,0,0
26,2023-01-26,2023,1,January,26,1,Thursday,0,0
27,2023-01-27,2023,1,January,27,1,Friday,0,0
28,2023-01-28,2023,1,January,28,1,Saturday,1,0
29,2023-01-29,2023,1,January,29,1,Sunday,1,0
30,2023-01-30,2023,1,January,30,1,Monday,0,0
31,2023-01-31,2023,1,January,31,1,Tuesday,0,0
32,2023-02-01,2023,2,February,1,1,Wednesday,0,0
33,2023-02-02,2023,2,February,2,1,Thursday,0,0
34,2023-02-03,2023,2,February,3,1,Friday,0,0
