inventory_id,subproduct_id,warehouse_id,quantity,last_updated
1,1,WH-Jakarta,7,2025-09-28 00:00:00
2,1,WH-Bandung,274,2025-05-07 00:00:00
3,1,WH-Surabaya,232,2026-01-13 00:00:00
4,1,WH-Medan,344,2025-09-26 00:00:00
5,1,WH-Makassar,299,2026-01-26 00:00:00
6,2,WH-Jakarta,421,2026-01-16 00:00:00
7,2,WH-Bandung,55,2025-08-28 00:00:00
8,2,WH-Surabaya,241,2025-01-26 00:00:00
9,2,WH-Medan,317,2026-07-29 00:00:00
10,2,WH-Makassar,167,2025-08-15 00:00:00
11,3,WH-Jakarta,331,2025-03-06 00:00:00
12,3,WH-Bandung,325,2026-04-21 00:00:00
13,3,WH-Surabaya,465,2025-11-06 00:00:00
14,3,WH-Medan,332,2026-02-23 00:00:00
15,3,WH-Makassar,59,2025-05-24 00:00:00
16,4,WH-Jakarta,23,2025-02-08 00:00:00
17,4,WH-Bandung,155,2026-05-20 00:00:00
18,4,WH-Surabaya,59,2025-04-10 00:00:00
19,4,WH-Medan,120,2026-07-05 00:00:00
20,4,WH-Makassar,69,2026-02-02 00:00:00
21,5,WH-Jakarta,232,2026-01-15 00:00:00
22,5,WH-Bandung,343,2026-07-08 00:00:00
23,5,WH-Surabaya,214,2025-06-08 00:00:00
24,5,WH-Medan,453,2026-03-01 00:00:00
25,5,WH-Makassar,335,2025-04-12 00:00:00
26,6,WH-Jakarta,426,2026-05-17 00:00:00
27,6,WH-Bandung,315,2026-02-22 00:00:00
28,6,WH-Surabaya,480,2025-10-14 00:00:00
29,6,WH-Medan,16,2026-01-15 00:00:00
30,6,WH-Makassar,111,2026-03-31 00:00:00
31,7,WH-Jakarta,227,2025-08-30 00:00:00
32,7,WH-Bandung,437,2026-01-07 00:00:00
33,7,WH-Surabaya,50,2026-01-12 00:00:00
34,7,WH-Medan,278,2026-01-03 00:00:00
35,7,WH-Makassar,31,2026-02-12 00:00:00
36,8,WH-Jakarta,141,2025-07-14 00:00:00
37,8,WH-Bandung,495,2025-05-06 00:00:00
38,8,WH-Surabaya,485,2026-04-11 00:00:00
39,8,WH-Medan,46,2025-08-06 00:00:00
40,8,WH-Makassar,328,2025-01-22 00:00:00
41,9,WH-Jakarta,25,2025-12-08 00:00:00
42,9,WH-Bandung,124,2025-05-09 00:00:00
43,9,WH-Surabaya,402,2026-08-02 00:00:00
44,9,WH-Medan,105,2025-03-12 00:00:00
45,9,WH-Makassar,424,2026-07-22 00:00:00
46,10,WH-Jakarta,106,2026-08-24 00:00:00
47,10,WH-Bandung,110,2025-08-27 00:00:00
48,10,WH-Surabaya,168,2025-06-01 00:00:00
49,10,WH-Medan,403,2025-01-03 00:00:00
50,10,WH-Makassar,141,2025-05-29 00:00:00
51,11,WH-Jakarta,66,2026-07-08 00:00:00
52,11,WH-Bandung,128,2025-06-28 00:00:00
53,11,WH-Surabaya,56,2025-01-27 00:00:00
54,11,WH-Medan,67,2025-01-16 00:00:00
55,11,WH-Makassar,183,2025-09-01 00:00:00
56,12,WH-Jakarta,301,2025-11-28 00:00:00
57,12,WH-Bandung,8,2025-06-28 00:00:00
58,12,WH-Surabaya,135,2025-02-23 00:00:00
59,12,WH-Medan,64,2026-03-08 00:00:00
60,12,WH-Makassar,269,2025-04-27 00:00:00
61,13,WH-Jakarta,381,2025-03-07 00:00:00
62,13,WH-Bandung,243,2026-04-05 00:00:00
63,13,WH-Surabaya,398,2026-01-06 00:00:00
64,13,WH-Medan,262,2025-04-22 00:00:00
65,13,WH-Makassar,231,2026-05-31 00:00:00
66,14,WH-Jakarta,113,2025-02-14 00:00:00
67,14,WH-Bandung,372,2026-06-18 00:00:00
68,14,WH-Surabaya,154,2026-04-15 00:00:00
69,14,WH-Medan,329,2025-02-01 00:00:00
70,14,WH-Makassar,31,2026-05-06 00:00:00
71,15,WH-Jakarta,433,2026-02-16 00:00:00
72,15,WH-Bandung,218,2025-04-21 00:00:00
73,15,WH-Surabaya,251,2026-03-31 00:00:00
74,15,WH-Medan,37,2025-03-24 00:00:00
75,15,WH-Makassar,164,2025-06-01 00:00:00
76,16,WH-Jakarta,33,2025-05-10 00:00:00
77,16,WH-Bandung,140,2026-08-23 00:00:00
78,16,WH-Surabaya,280,2025-11-29 00:00:00
79,16,WH-Medan,195,2026-06-28 00:00:00
80,16,WH-Makassar,150,2026-04-10 00:00:00
81,17,WH-Jakarta,258,2026-03-17 00:00:00
82,17,WH-Bandung,50,2025-04-28 00:00:00
83,17,WH-Surabaya,436,2026-07-19 00:00:00
84,17,WH-Medan,369,2025-08-09 00:00:00
85,17,WH-Makassar,220,2026-04-08 00:00:00
86,18,WH-Jakarta,454,2025-08-22 00:00:00
87,18,WH-Bandung,211,2025-12-14 00:00:00
88,18,WH-Surabaya,423,2026-04-10 00:00:00
89,18,WH-Medan,204,2026-03-02 00:00:00
90,18,WH-Makassar,373,2025-04-08 00:00:00
91,19,WH-Jakarta,160,2026-03-14 00:00:00
92,19,WH-Bandung,160,2025-09-19 00:00:00
93,19,WH-Surabaya,191,2025-06-06 00:00:00
