order_id,customer_id,subproduct_id,quantity,unit_price,discount_amount,shipping_cost,total_amount,payment_id,order_date,status_id,employee_id,city_id
1,828,283,1,222494,0,0,222494,6,2026-07-09,3,44,6
2,986,297,1,155454,23318,15000,147136,6,2026-02-12,5,56,24
3,504,435,5,1023839,0,10000,5129195,11,2024-01-19,3,62,19
4,1699,522,1,69707,10456,15000,74251,5,2025-04-29,5,75,4
5,123,515,1,79707,0,15000,94707,8,2023-07-07,2,12,26
6,1351,483,2,455632,0,0,911264,10,2025-01-28,4,59,27
7,949,229,1,1169215,116921,0,1052294,10,2026-04-09,5,32,29
8,1722,37,2,791327,0,30000,1612654,2,2023-05-21,4,5,14
9,1523,202,2,1015325,0,0,2030650,4,2025-01-24,3,23,9
10,663,416,1,1263713,0,25000,1288713,11,2023-03-31,5,31,28
11,2338,444,1,1013839,152075,0,861764,1,2024-03-20,2,31,21
12,2296,459,2,392900,0,25000,810800,4,2026-01-17,4,68,29
13,1161,461,2,392900,19645,20000,766510,4,2024-08-31,3,35,22
14,33,239,1,1189215,0,10000,1199215,12,2023-10-04,3,52,1
15,1197,493,1,1174592,117459,15000,1072133,1,2025-06-09,3,33,17
16,2289,199,3,80278,0,20000,260834,7,2025-08-06,4,53,11
17,1812,336,2,1157247,231449,30000,1881596,8,2024-05-05,4,39,15
18,2497,173,1,572301,85845,20000,506456,5,2024-07-12,4,33,23
19,2498,223,5,1179215,0,10000,5906075,6,2025-02-25,1,43,5
20,1653,319,2,135454,0,25000,295908,3,2025-06-14,3,49,2
21,46,385,1,1073936,53696,20000,1040240,9,2026-04-09,3,9,7
22,2203,187,3,60278,0,10000,190834,11,2023-09-07,4,18,17
23,1572,503,1,1204592,0,10000,1214592,4,2024-06-29,4,63,12
24,1106,55,5,1039429,0,10000,5207145,8,2026-02-16,4,39,22
25,1339,508,2,1174592,0,15000,2364184,6,2025-12-02,5,75,12
26,1334,461,2,392900,0,20000,805800,9,2025-02-27,4,1,2
27,1445,346,1,1147247,0,20000,1167247,8,2023-04-21,4,55,7
28,1047,271,1,202494,10124,10000,202370,1,2024-06-18,2,48,26
29,440,262,5,237829,11891,10000,1139690,5,2025-04-21,5,23,26
