return_id,order_id,customer_id,subproduct_id,return_date,reason,status,refund_amount,processed_by,resolution_date
1,858,1933,370,2026-06-22,Diterima dalam kondisi tidak baik,Refund Processed,150000,5,2026-07-02
2,4386,852,339,2023-12-15,Customer tidak jadi beli,Rejected,150000,40,2023-12-28
3,1429,1899,494,2024-03-09,Customer tidak jadi beli,Rejected,250000,60,2024-03-22
4,6673,1202,82,2025-07-12,Keterlambatan pengiriman,Refund Processed,1000000,13,2025-07-26
5,4368,1568,544,2024-11-20,Pesanan salah kirim,Refund Processed,100000,21,2024-12-02
6,1765,1820,280,2025-12-08,Pesanan salah kirim,Refund Processed,750000,23,2025-12-17
7,626,340,395,2025-06-03,Ukuran tidak sesuai,Approved,500000,18,2025-06-06
8,6212,526,144,2026-05-19,Keterlambatan pengiriman,Approved,200000,59,2026-05-24
9,8786,804,304,2024-05-20,Salah order,Rejected,150000,40,2024-06-02
10,9214,1833,27,2026-07-05,Warna tidak sesuai deskripsi,Refund Processed,100000,21,2026-07-11
11,5443,997,43,2023-08-24,Pesanan salah kirim,Pending Review,250000,60,2023-08-31
12,5584,2279,537,2023-08-12,Salah order,Refund Processed,50000,14,2023-08-19
13,851,1257,175,2024-05-31,Warna tidak sesuai deskripsi,Rejected,400000,52,2024-06-01
14,2616,1274,444,2025-10-25,Salah order,Approved,300000,73,2025-10-28
15,2213,1227,452,2024-05-13,Warna tidak sesuai deskripsi,Exchange Sent,500000,76,2024-05-25
16,5525,2169,173,2023-12-22,Customer tidak jadi beli,Refund Processed,150000,16,2023-12-24
17,9191,726,17,2026-08-09,Keterlambatan pengiriman,Approved,400000,30,2026-08-22
18,5469,320,275,2025-07-03,Diterima dalam kondisi tidak baik,Approved,200000,31,2025-07-06
19,4017,779,10,2024-03-24,Ukuran tidak sesuai,Approved,1000000,39,2024-04-01
20,2684,1905,331,2024-02-14,Ukuran tidak sesuai,Approved,500000,40,2024-02-16
21,28,100,145,2026-08-27,Produk tidak berfungsi,Pending Review,200000,60,2026-09-10
22,7148,2028,492,2023-09-26,Produk tidak berfungsi,Refund Processed,250000,30,2023-10-02
23,1436,1096,540,2024-07-05,Ukuran tidak sesuai,Pending Review,75000,45,2024-07-11
24,9792,1587,155,2025-08-04,Pesanan salah kirim,Approved,100000,43,2025-08-08
25,6187,589,250,2025-08-15,Keterlambatan pengiriman,Approved,1500000,21,2025-08-20
26,1145,1620,548,2025-02-19,Keterlambatan pengiriman,Refund Processed,1500000,1,2025-03-03
27,109,924,236,2025-09-29,Salah order,Approved,100000,42,2025-10-11
28,5169,1380,466,2025-09-11,Produk rusak / cacat,Approved,1000000,34,2025-09-14
29,7346,2014,187,2024-02-08,Warna tidak sesuai deskripsi,Approved,1000000,17,2024-02-11
30,1672,1644,486,2024-08-19,Keterlambatan pengiriman,Rejected,50000,34,2024-09-01
31,720,554,77,2024-11-26,Customer tidak jadi beli,Exchange Sent,150000,39,2024-11-28
32,1520,1710,285,2024-01-09,Diterima dalam kondisi tidak baik,Refund Processed,400000,6,2024-01-10
33,2330,1902,439,2023-11-30,Ukuran tidak sesuai,Approved,150000,6,2023-12-14
34,2069,1530,135,2026-07-27,Pesanan salah kirim,Pending Review,150000,9,2026-07-29
35,348,2065,492,2026-02-05,Customer tidak jadi beli,Approved,500000,25,2026-02-11
36,4781,815,529,2026-08-08,Pesanan salah kirim,Refund Processed,750000,5,2026-08-19
37,7056,795,307,2025-12-24,Customer tidak jadi beli,Approved,200000,69,2026-01-07
38,9395,518,254,2024-11-17,Ukuran tidak sesuai,Exchange Sent,100000,30,2024-11-23
