subproduct_id,product_id,variant_name,sku,size,color,price_adjustment,final_price
1,1,Merah - S,SKU-001-0001,S,Merah,-20000,263478
2,1,Putih - S,SKU-001-0002,S,Putih,20000,303478
3,1,Khaki - S,SKU-001-0003,S,Khaki,-20000,263478
4,1,Biru - S,SKU-001-0004,S,Biru,20000,303478
5,1,Khaki - M,SKU-001-0005,M,Khaki,-10000,273478
6,1,Hitam - M,SKU-001-0006,M,Hitam,-10000,273478
7,1,Olive - M,SKU-001-0007,M,Olive,20000,303478
8,1,Biru - M,SKU-001-0008,M,Biru,20000,303478
9,1,Hitam - L,SKU-001-0009,L,Hitam,10000,293478
10,1,Merah - L,SKU-001-0010,L,Merah,-10000,273478
11,1,Putih - L,SKU-001-0011,L,Putih,10000,293478
12,1,Khaki - L,SKU-001-0012,L,Khaki,20000,303478
13,1,Merah - XL,SKU-001-0013,XL,Merah,10000,293478
14,1,Khaki - XL,SKU-001-0014,XL,Khaki,0,283478
15,1,Hitam - XL,SKU-001-0015,XL,Hitam,0,283478
16,1,Putih - XL,SKU-001-0016,XL,Putih,-10000,273478
17,1,Abu-abu - XXL,SKU-001-0017,XXL,Abu-abu,-20000,263478
18,1,Khaki - XXL,SKU-001-0018,XXL,Khaki,10000,293478
19,1,Navy - XXL,SKU-001-0019,XXL,Navy,-20000,263478
20,1,Hitam - XXL,SKU-001-0020,XXL,Hitam,0,283478
21,2,Hitam - S,SKU-002-0021,S,Hitam,-20000,751327
22,2,Biru - S,SKU-002-0022,S,Biru,10000,781327
23,2,Abu-abu - S,SKU-002-0023,S,Abu-abu,-20000,751327
24,2,Merah - S,SKU-002-0024,S,Merah,20000,791327
25,2,Merah - M,SKU-002-0025,M,Merah,0,771327
26,2,Khaki - M,SKU-002-0026,M,Khaki,20000,791327
27,2,Biru - M,SKU-002-0027,M,Biru,-10000,761327
28,2,Olive - M,SKU-002-0028,M,Olive,-20000,751327
29,2,Hitam - L,SKU-002-0029,L,Hitam,-20000,751327
30,2,Biru - L,SKU-002-0030,L,Biru,-10000,761327
31,2,Putih - L,SKU-002-0031,L,Putih,-20000,751327
32,2,Navy - L,SKU-002-0032,L,Navy,10000,781327
33,2,Merah - XL,SKU-002-0033,XL,Merah,-10000,761327
34,2,Abu-abu - XL,SKU-002-0034,XL,Abu-abu,0,771327
